season,team,name,age,height,weight,pcs points,uci points,pcs points till tdf,uci points till tdf,race days till tdf,tdf attended,vuelta attended,giro attended,last season pcs points,last season uci points
2010,AG2R La Mondiale,ROCHE Nicolas,39,1.78,70,983.0,83.0,427.0,62.0,47,True,True,False,488.0,0.0
2010,AG2R La Mondiale,NOCENTINI Rinaldo,46,1.73,60,191.0,106.0,137.0,106.0,18,True,True,False,487.0,20.0
2010,AG2R La Mondiale,ELMIGER Martin,45,1.82,73,452.0,0.0,258.0,0.0,47,True,False,False,411.0,37.0
2010,AG2R La Mondiale,VALJAVEC Tadej,46,1.71,59,56.0,0.0,37.0,0.0,22,False,False,False,262.0,0.0
2010,AG2R La Mondiale,HINAULT Sébastien,49,1.75,63,285.0,18.0,150.0,10.0,56,False,True,True,268.0,0.0
2010,AG2R La Mondiale,GADRET John,44,1.7,58,427.0,25.0,272.0,25.0,41,True,False,True,43.0,0.0
2010,AG2R La Mondiale,MONDORY Lloyd,41,1.75,66,449.0,4.0,235.0,0.0,54,True,False,False,356.0,16.0
2010,AG2R La Mondiale,BOUET Maxime,37,1.83,67,316.0,30.0,151.0,20.0,41,True,False,False,369.0,0.0
2010,AG2R La Mondiale,DUPONT Hubert,42,1.74,57,161.0,3.0,126.0,3.0,49,False,True,True,136.0,5.0
2010,AG2R La Mondiale,RIBLON Christophe,42,1.8,65,522.0,135.0,333.0,115.0,51,True,True,False,252.0,7.0
2010,AG2R La Mondiale,EFIMKIN Vladimir,41,1.81,67,20.0,0.0,20.0,0.0,31,False,False,False,238.0,12.0
2010,AG2R La Mondiale,ARRIETA José Luis,52,1.78,68,35.0,2.0,5.0,0.0,32,False,True,False,105.0,0.0
2010,AG2R La Mondiale,TURPIN Ludovic,48,1.7,57,158.0,5.0,54.0,5.0,60,False,True,True,85.0,0.0
2010,AG2R La Mondiale,DESSEL Cyril,48,1.81,63,59.0,0.0,54.0,0.0,52,False,False,False,31.0,0.0
2010,AG2R La Mondiale,KRIVTSOV Yuriy,44,1.78,72,70.0,0.0,43.0,0.0,57,False,False,True,116.0,0.0
2010,AG2R La Mondiale,EFIMKIN Alexander,41,1.82,70,145.0,5.0,140.0,5.0,50,False,False,True,110.0,0.0
2010,AG2R La Mondiale,RAVARD Anthony,40,1.69,62,361.0,4.0,94.0,4.0,43,False,False,True,186.0,29.0
2010,AG2R La Mondiale,LELAY David,43,1.76,67,69.0,0.0,46.0,0.0,43,True,False,False,607.0,8.0
2010,AG2R La Mondiale,KADRI Blel,37,1.76,66,143.0,1.0,77.0,0.0,54,False,True,False,87.0,0.0
2010,AG2R La Mondiale,GASTAUER Ben,35,1.9,73,50.0,0.0,12.0,0.0,48,False,False,False,51.0,0.0
2010,AG2R La Mondiale,LOUBET Julien,38,1.8,66,165.0,0.0,109.0,0.0,50,False,False,False,104.0,0.0
2010,AG2R La Mondiale,GODDAERT Kristof,,1.82,72,153.0,21.0,52.0,5.0,45,False,False,False,258.0,0.0
2010,AG2R La Mondiale,SMUKULIS Gatis,36,1.83,72,35.0,0.0,20.0,0.0,36,False,False,False,20.0,0.0
2010,AG2R La Mondiale,MANDRI René,39,1.84,66,59.0,3.0,59.0,3.0,50,False,False,True,38.0,0.0
2010,AG2R La Mondiale,BONNAFOND Guillaume,36,1.84,68,89.0,0.0,35.0,0.0,47,False,True,True,39.0,0.0
2010,AG2R La Mondiale,BÉRARD Julien,36,1.85,70,71.0,0.0,37.0,0.0,48,False,False,False,38.0,6.0
2010,AG2R La Mondiale,CLARKE Will,38,1.92,81,16.0,0.0,16.0,0.0,13,False,False,False,16.0,0.0
2010,AG2R La Mondiale,CHAMPION Dimitri,40,1.8,70,96.0,4.0,68.0,4.0,48,True,False,False,213.0,4.0
2010,AG2R La Mondiale,ROUSSEAU Nicolas,40,1.76,70,52.0,0.0,52.0,0.0,37,False,False,False,105.0,0.0
2010,AG2R La Mondiale,BONNIN Thomas,34,,,32.0,0.0,21.0,0.0,7,False,False,False,0.0,0.0
2010,AG2R La Mondiale,TEYCHENNE Mathieu,34,1.84,68,0.0,0.0,0.0,0.0,16,False,False,False,15.0,0.0
2010,Astana,CONTADOR Alberto,40,1.76,61,1076.0,387.0,1038.0,387.0,30,True,False,False,1941.0,127.0
2010,Astana,VINOKOUROV Alexandre,50,1.77,68,1372.0,319.0,877.0,209.0,40,True,False,True,447.0,0.0
2010,Astana,DAVIS Allan,43,1.72,73,606.0,48.0,102.0,0.0,44,False,True,False,1122.0,0.0
2010,Astana,GASPAROTTO Enrico,41,1.74,65,334.0,63.0,282.0,63.0,37,False,True,True,321.0,0.0
2010,Astana,GRIVKO Andrey,40,1.81,70,288.0,0.0,137.0,0.0,55,True,False,True,381.0,0.0
2010,Astana,PEREIRO Óscar,46,1.77,67,54.0,0.0,49.0,0.0,43,False,False,False,68.0,6.0
2010,Astana,NAVARRO Daniel,40,1.74,60,102.0,6.0,77.0,6.0,34,True,False,False,206.0,0.0
2010,Astana,TIRALONGO Paolo,46,1.78,63,116.0,0.0,91.0,0.0,37,True,False,True,319.0,0.0
2010,Astana,IGLINSKIY Maxim,42,1.71,67,579.0,264.0,549.0,264.0,35,True,False,False,295.0,0.0
2010,Astana,FOFONOV Dmitriy,47,1.75,65,183.0,0.0,25.0,0.0,32,False,True,False,335.0,0.0
2010,Astana,ŠTANGELJ Gorazd,50,1.82,70,106.0,0.0,58.0,0.0,55,False,False,True,136.0,0.0
2010,Astana,JUFRÉ Josep,48,1.78,65,146.0,0.0,77.0,0.0,45,False,True,True,90.0,0.0
2010,Astana,ZEITS Andrey,36,1.89,73,68.0,0.0,20.0,0.0,39,False,True,False,51.0,0.0
2010,Astana,DE LA FUENTE David,42,1.75,67,78.0,0.0,13.0,0.0,26,True,False,False,472.0,0.0
2010,Astana,BAZAYEV Assan,42,1.77,62,222.0,0.0,36.0,0.0,26,False,True,False,285.0,8.0
2010,Astana,DYACHENKO Alexandr,40,1.79,65,106.0,0.0,13.0,0.0,27,False,True,True,145.0,0.0
2010,Astana,IGLINSKIY Valentin,39,1.78,68,282.0,0.0,26.0,0.0,33,False,True,True,261.0,0.0
2010,Astana,NOVAL Benjamín,44,1.78,71,25.0,0.0,0.0,0.0,33,True,False,False,10.0,0.0
2010,Astana,HERNÁNDEZ BLÁZQUEZ Jesús,42,1.69,58,43.0,0.0,18.0,0.0,31,True,False,False,142.0,0.0
2010,Astana,SELVAGGI Mirko,38,1.95,73,38.0,0.0,15.0,0.0,26,False,False,False,13.0,0.0
2010,Astana,GOUROV Maxim,44,1.89,75,77.0,0.0,25.0,0.0,43,False,False,False,10.0,0.0
2010,Astana,DAVIS Scott,44,1.7,60,10.0,0.0,0.0,0.0,20,False,False,False,5.0,0.0
2010,Astana,NEPOMNYACHSHIY Yevgeniy,36,1.74,62,5.0,0.0,5.0,0.0,12,False,False,False,48.0,0.0
2010,Astana,RENEV Sergey,38,1.84,68,41.0,0.0,10.0,0.0,32,False,True,False,25.0,0.0
2010,Astana,DMITRIYEV Valeriy,39,1.75,69,11.0,0.0,11.0,0.0,34,False,False,False,5.0,0.0
2010,Astana,KIREYEV Roman,36,1.77,66,40.0,0.0,35.0,0.0,34,False,False,True,33.0,0.0
2010,Astana,RAIMBEKOV Bolat,36,1.81,66,5.0,0.0,5.0,0.0,24,False,False,False,5.0,0.0
2010,Caisse d'Epargne,VALVERDE Alejandro,43,1.77,61,16.0,0.0,16.0,0.0,37,False,False,False,2070.0,0.0
2010,Caisse d'Epargne,COSTA Rui,37,1.83,69,336.0,22.0,311.0,22.0,34,True,False,False,376.0,0.0
2010,Caisse d'Epargne,URÁN Rigoberto,36,1.73,63,427.0,40.0,292.0,39.0,52,False,True,True,265.0,0.0
2010,Caisse d'Epargne,SÁNCHEZ Luis León,39,1.86,73,1718.0,440.0,929.0,329.0,47,True,True,False,1039.0,109.0
2010,Caisse d'Epargne,MOREAU Christophe,52,1.86,71,397.0,4.0,112.0,0.0,29,True,False,False,303.0,0.0
2010,Caisse d'Epargne,ROJAS José Joaquín,38,1.77,70,900.0,70.0,471.0,30.0,47,True,False,False,688.0,60.0
2010,Caisse d'Epargne,KIRYIENKA Vasil,42,1.82,69,212.0,10.0,73.0,0.0,45,True,False,True,223.0,0.0
2010,Caisse d'Epargne,GUTIÉRREZ José Iván,44,1.81,71,249.0,0.0,101.0,0.0,43,True,False,False,113.0,28.0
2010,Caisse d'Epargne,ARROYO David,43,1.74,63,507.0,132.0,410.0,132.0,46,False,True,True,455.0,0.0
2010,Caisse d'Epargne,PLAZA Rubén,43,1.91,77,435.0,6.0,19.0,0.0,25,True,True,False,424.0,50.0
2010,Caisse d'Epargne,LASTRAS Pablo,47,1.83,68,394.0,74.0,114.0,4.0,50,False,False,True,274.0,87.0
2010,Caisse d'Epargne,BRUSEGHIN Marzio,49,1.82,70,133.0,2.0,11.0,0.0,40,False,True,True,288.0,0.0
2010,Caisse d'Epargne,LÓPEZ David,42,1.79,68,216.0,16.0,30.0,0.0,36,False,True,False,191.0,12.0
2010,Caisse d'Epargne,AMADOR Andrey,37,1.8,73,65.0,0.0,35.0,0.0,40,False,False,True,94.0,0.0
2010,Caisse d'Epargne,COBO Juan José,42,1.75,62,3.0,0.0,0.0,0.0,34,False,False,False,446.0,30.0
2010,Caisse d'Epargne,ERVITI Imanol,39,1.89,82,234.0,22.0,89.0,6.0,34,True,True,False,62.0,5.0
2010,Caisse d'Epargne,GARCÍA ACOSTA José Vicente,51,1.86,76,42.0,4.0,19.0,4.0,42,False,True,False,30.0,0.0
2010,Caisse d'Epargne,MADRAZO Ángel,35,1.71,61,20.0,0.0,0.0,0.0,31,False,False,False,15.0,0.0
2010,Caisse d'Epargne,JEANNESSON Arnold,37,1.82,65,31.0,0.0,21.0,0.0,40,False,False,True,37.0,0.0
2010,Caisse d'Epargne,SOLER Juan Mauricio,40,1.9,70,41.0,0.0,35.0,0.0,20,False,False,False,284.0,14.0
2010,Caisse d'Epargne,PASAMONTES Luis,44,1.86,72,81.0,0.0,22.0,0.0,38,False,True,False,138.0,0.0
2010,Caisse d'Epargne,LOSADA Alberto,41,1.8,69,65.0,0.0,45.0,0.0,43,False,False,True,109.0,0.0
2010,Caisse d'Epargne,PÉREZ Francisco,45,1.89,76,24.0,0.0,6.0,0.0,37,False,False,False,79.0,3.0
2010,Caisse d'Epargne,ZANDIO Xabier,46,1.84,73,50.0,0.0,35.0,0.0,47,False,False,True,51.0,0.0
2010,Caisse d'Epargne,DRUJON Mathieu,40,1.85,75,67.0,21.0,56.0,21.0,35,False,False,False,82.0,10.0
