indices,season,team,name,age,height,weight,pcs points,uci points,pcs points till tdf,uci points till tdf,race days till tdf,tdf attended,vuelta attended,giro attended,last season pcs points,last season uci points
0,2010,1,790,39.0,1.78,70.0,983.0,83.0,427.0,62.0,47,True,True,False,488.0,0.0
1,2010,1,444,46.0,1.73,60.0,191.0,106.0,137.0,106.0,18,True,True,False,487.0,20.0
2,2010,1,1287,45.0,1.82,73.0,452.0,0.0,258.0,0.0,47,True,False,False,411.0,37.0
3,2010,1,177,46.0,1.71,59.0,56.0,0.0,37.0,0.0,22,False,False,False,262.0,0.0
4,2010,1,603,49.0,1.75,63.0,285.0,18.0,150.0,10.0,56,False,True,True,268.0,0.0
5,2010,1,1267,44.0,1.7,58.0,427.0,25.0,272.0,25.0,41,True,False,True,43.0,0.0
6,2010,1,16,41.0,1.75,66.0,449.0,4.0,235.0,0.0,54,True,False,False,356.0,16.0
7,2010,1,479,37.0,1.83,67.0,316.0,30.0,151.0,20.0,41,True,False,False,369.0,0.0
8,2010,1,1546,42.0,1.74,57.0,161.0,3.0,126.0,3.0,49,False,True,True,136.0,5.0
9,2010,1,1331,42.0,1.8,65.0,522.0,135.0,333.0,115.0,51,True,True,False,252.0,7.0
10,2010,1,67,41.0,1.81,67.0,20.0,0.0,20.0,0.0,31,False,False,False,238.0,12.0
11,2010,1,33,52.0,1.78,68.0,35.0,2.0,5.0,0.0,32,False,True,False,105.0,0.0
12,2010,1,896,48.0,1.7,57.0,158.0,5.0,54.0,5.0,60,False,True,True,85.0,0.0
13,2010,1,115,48.0,1.81,63.0,59.0,0.0,54.0,0.0,52,False,False,False,31.0,0.0
14,2010,1,795,44.0,1.78,72.0,70.0,0.0,43.0,0.0,57,False,False,True,116.0,0.0
15,2010,1,756,41.0,1.82,70.0,145.0,5.0,140.0,5.0,50,False,False,True,110.0,0.0
16,2010,1,891,40.0,1.69,62.0,361.0,4.0,94.0,4.0,43,False,False,True,186.0,29.0
17,2010,1,763,43.0,1.76,67.0,69.0,0.0,46.0,0.0,43,True,False,False,607.0,8.0
18,2010,1,367,37.0,1.76,66.0,143.0,1.0,77.0,0.0,54,False,True,False,87.0,0.0
19,2010,1,1257,35.0,1.9,73.0,50.0,0.0,12.0,0.0,48,False,False,False,51.0,0.0
20,2010,1,431,38.0,1.8,66.0,165.0,0.0,109.0,0.0,50,False,False,False,104.0,0.0
21,2010,1,63,,1.82,72.0,153.0,21.0,52.0,5.0,45,False,False,False,258.0,0.0
22,2010,1,626,36.0,1.83,72.0,35.0,0.0,20.0,0.0,36,False,False,False,20.0,0.0
23,2010,1,1581,39.0,1.84,66.0,59.0,3.0,59.0,3.0,50,False,False,True,38.0,0.0
24,2010,1,845,36.0,1.84,68.0,89.0,0.0,35.0,0.0,47,False,True,True,39.0,0.0
25,2010,1,1551,36.0,1.85,70.0,71.0,0.0,37.0,0.0,48,False,False,False,38.0,6.0
26,2010,1,489,38.0,1.92,81.0,16.0,0.0,16.0,0.0,13,False,False,False,16.0,0.0
27,2010,1,132,40.0,1.8,70.0,96.0,4.0,68.0,4.0,48,True,False,False,213.0,4.0
28,2010,1,1173,40.0,1.76,70.0,52.0,0.0,52.0,0.0,37,False,False,False,105.0,0.0
29,2010,1,544,34.0,,,32.0,0.0,21.0,0.0,7,False,False,False,0.0,0.0
30,2010,1,1354,34.0,1.84,68.0,0.0,0.0,0.0,0.0,16,False,False,False,15.0,0.0
31,2010,2,264,40.0,1.76,61.0,1076.0,387.0,1038.0,387.0,30,True,False,False,1941.0,127.0
32,2010,2,119,50.0,1.77,68.0,1372.0,319.0,877.0,209.0,40,True,False,True,447.0,0.0
33,2010,2,1238,43.0,1.72,73.0,606.0,48.0,102.0,0.0,44,False,True,False,1122.0,0.0
34,2010,2,702,41.0,1.74,65.0,334.0,63.0,282.0,63.0,37,False,True,True,321.0,0.0
35,2010,2,311,40.0,1.81,70.0,288.0,0.0,137.0,0.0,55,True,False,True,381.0,0.0
36,2010,2,1076,46.0,1.77,67.0,54.0,0.0,49.0,0.0,43,False,False,False,68.0,6.0
37,2010,2,687,40.0,1.74,60.0,102.0,6.0,77.0,6.0,34,True,False,False,206.0,0.0
38,2010,2,551,46.0,1.78,63.0,116.0,0.0,91.0,0.0,37,True,False,True,319.0,0.0
39,2010,2,6,42.0,1.71,67.0,579.0,264.0,549.0,264.0,35,True,False,False,295.0,0.0
40,2010,2,1316,47.0,1.75,65.0,183.0,0.0,25.0,0.0,32,False,True,False,335.0,0.0
41,2010,2,1493,50.0,1.82,70.0,106.0,0.0,58.0,0.0,55,False,False,True,136.0,0.0
42,2010,2,222,48.0,1.78,65.0,146.0,0.0,77.0,0.0,45,False,True,True,90.0,0.0
43,2010,2,1185,36.0,1.89,73.0,68.0,0.0,20.0,0.0,39,False,True,False,51.0,0.0
44,2010,2,709,42.0,1.75,67.0,78.0,0.0,13.0,0.0,26,True,False,False,472.0,0.0
45,2010,2,235,42.0,1.77,62.0,222.0,0.0,36.0,0.0,26,False,True,False,285.0,8.0
46,2010,2,433,40.0,1.79,65.0,106.0,0.0,13.0,0.0,27,False,True,True,145.0,0.0
47,2010,2,1329,39.0,1.78,68.0,282.0,0.0,26.0,0.0,33,False,True,True,261.0,0.0
48,2010,2,927,44.0,1.78,71.0,25.0,0.0,0.0,0.0,33,True,False,False,10.0,0.0
49,2010,2,590,42.0,1.69,58.0,43.0,0.0,18.0,0.0,31,True,False,False,142.0,0.0
50,2010,2,473,38.0,1.95,73.0,38.0,0.0,15.0,0.0,26,False,False,False,13.0,0.0
51,2010,2,84,44.0,1.89,75.0,77.0,0.0,25.0,0.0,43,False,False,False,10.0,0.0
52,2010,2,400,44.0,1.7,60.0,10.0,0.0,0.0,0.0,20,False,False,False,5.0,0.0
53,2010,2,1046,36.0,1.74,62.0,5.0,0.0,5.0,0.0,12,False,False,False,48.0,0.0
54,2010,2,43,38.0,1.84,68.0,41.0,0.0,10.0,0.0,32,False,True,False,25.0,0.0
55,2010,2,566,39.0,1.75,69.0,11.0,0.0,11.0,0.0,34,False,False,False,5.0,0.0
56,2010,2,1437,36.0,1.77,66.0,40.0,0.0,35.0,0.0,34,False,False,True,33.0,0.0
57,2010,2,50,36.0,1.81,66.0,5.0,0.0,5.0,0.0,24,False,False,False,5.0,0.0
58,2010,3,1371,43.0,1.77,61.0,16.0,0.0,16.0,0.0,37,False,False,False,2070.0,0.0
59,2010,3,1253,37.0,1.83,69.0,336.0,22.0,311.0,22.0,34,True,False,False,376.0,0.0
60,2010,3,693,36.0,1.73,63.0,427.0,40.0,292.0,39.0,52,False,True,True,265.0,0.0
61,2010,3,657,39.0,1.86,73.0,1718.0,440.0,929.0,329.0,47,True,True,False,1039.0,109.0
62,2010,3,840,52.0,1.86,71.0,397.0,4.0,112.0,0.0,29,True,False,False,303.0,0.0
63,2010,3,1538,38.0,1.77,70.0,900.0,70.0,471.0,30.0,47,True,False,False,688.0,60.0
64,2010,3,89,42.0,1.82,69.0,212.0,10.0,73.0,0.0,45,True,False,True,223.0,0.0
65,2010,3,27,44.0,1.81,71.0,249.0,0.0,101.0,0.0,43,True,False,False,113.0,28.0
66,2010,3,23,43.0,1.74,63.0,507.0,132.0,410.0,132.0,46,False,True,True,455.0,0.0
67,2010,3,1051,43.0,1.91,77.0,435.0,6.0,19.0,0.0,25,True,True,False,424.0,50.0
68,2010,3,833,47.0,1.83,68.0,394.0,74.0,114.0,4.0,50,False,False,True,274.0,87.0
69,2010,3,1298,49.0,1.82,70.0,133.0,2.0,11.0,0.0,40,False,True,True,288.0,0.0
70,2010,3,934,42.0,1.79,68.0,216.0,16.0,30.0,0.0,36,False,True,False,191.0,12.0
71,2010,3,1599,37.0,1.8,73.0,65.0,0.0,35.0,0.0,40,False,False,True,94.0,0.0
72,2010,3,1366,42.0,1.75,62.0,3.0,0.0,0.0,0.0,34,False,False,False,446.0,30.0
73,2010,3,983,39.0,1.89,82.0,234.0,22.0,89.0,6.0,34,True,True,False,62.0,5.0
74,2010,3,1311,51.0,1.86,76.0,42.0,4.0,19.0,4.0,42,False,True,False,30.0,0.0
75,2010,3,203,35.0,1.71,61.0,20.0,0.0,0.0,0.0,31,False,False,False,15.0,0.0
76,2010,3,512,37.0,1.82,65.0,31.0,0.0,21.0,0.0,40,False,False,True,37.0,0.0
77,2010,3,254,40.0,1.9,70.0,41.0,0.0,35.0,0.0,20,False,False,False,284.0,14.0
78,2010,3,1313,44.0,1.86,72.0,81.0,0.0,22.0,0.0,38,False,True,False,138.0,0.0
79,2010,3,1070,41.0,1.8,69.0,65.0,0.0,45.0,0.0,43,False,False,True,109.0,0.0
80,2010,3,82,45.0,1.89,76.0,24.0,0.0,6.0,0.0,37,False,False,False,79.0,3.0
81,2010,3,1697,46.0,1.84,73.0,50.0,0.0,35.0,0.0,47,False,False,True,51.0,0.0
82,2010,3,1021,40.0,1.85,75.0,67.0,21.0,56.0,21.0,35,False,False,False,82.0,10.0
83,2010,3,1595,39.0,1.76,64.0,101.0,2.0,15.0,0.0,44,True,False,False,234.0,0.0
84,2010,3,867,,1.95,76.0,60.0,2.0,50.0,2.0,34,False,False,False,58.0,0.0
85,2010,4,1389,45.0,1.75,65.0,1716.0,231.0,540.0,133.0,30,True,False,False,1456.0,5.0
86,2010,4,1468,39.0,1.73,62.0,399.0,46.0,59.0,0.0,45,False,True,False,32.0,4.0
87,2010,4,1521,40.0,1.73,64.0,867.0,152.0,569.0,116.0,36,False,True,False,188.0,0.0
88,2010,4,344,36.0,1.76,66.0,127.0,0.0,43.0,0.0,36,False,False,False,10.0,0.0
89,2010,4,374,36.0,1.71,62.0,77.0,2.0,32.0,2.0,47,False,False,False,89.0,5.0
90,2010,4,961,37.0,1.75,61.0,423.0,107.0,354.0,107.0,30,False,True,False,139.0,8.0
91,2010,4,1607,42.0,1.82,71.0,536.0,33.0,241.0,25.0,43,False,True,False,427.0,22.0
92,2010,4,377,45.0,1.81,70.0,110.0,5.0,70.0,5.0,35,True,True,False,299.0,0.0
